index,artist,country
2,070 Shake,US
3,2 Chainz,US
7,24kGoldn,US
8,347aidan,US
9,4*TOWN (From Disney And Pixar's Turning Red),US
18,5 Seconds Of Summer,AU
19,50 Cent,US
23,6ix9ine,US
24,9lokknine,US
32,A7S,SE
33,AJR,US
34,ATR Son Son,US
35,AURORA,NO
36,Aaron Lewis,US
37,Acraze,US
40,Adele,GB
41,Agust D,KR
42,Alesso,SE
43,Ali Gatie,CA
47,All Time Low,US
48,Amaarae,GH
49,Amanda Reifer,BB
50,Amanda Shires,US
51,Anderson .Paak,US
52,Andrew Jannakos,US
53,Andy Williams,US
54,Anitta,BR
55,AnnenMayKantereit,DE
56,Ant Clemons,US
57,Ant Saunders,US
64,Ariana Grande,US
65,Arizona Zervas,US
66,Armani White,US
67,Ashanti,US
68,Ashe,US
73,Aventura,US
76,BENEE,NZ
79,BIG30,US
80,BLACKPINK,KR
83,BRELAND,US
84,BRELAND & HARDY,US
85,BRS Kash,US
86,BSlime,US
87,BTS,KR
90,Baby Tate,US
94,Bailey Zimmerman,US
97,BeatKing,US
100,Becky G,US
101,Bella Poarch,US
102,Belly,US
103,Ben Burgess,US
104,Benny The Butcher,US
105,Benson Boone,US
106,Beth Gibbons,GB
107,Beyonce,US
108,Big Red Machine,US
112,Billie Eilish,US
113,Billy Ray Cyrus,US
114,Bing Crosby,US
115,Birdman,US
116,Bizarrap,AR
117,Bizzy Banks,US
118,Black Eyed Peas,US
121,Blanco Brown,US
122,Blink-182,US
125,"Bobby ""Boris"" Pickett And The Crypt-Kickers",US
126,Bobby Helms,US
127,Bomba Estereo,CO
128,Bon Iver,US
129,Bootsy Collins,US
130,Bory300,US
131,BoyWithUke,US
132,Brad Paisley,US
133,Brantley Gilbert,US
136,Brenda Lee,US
140,Brett Eldredge,US
141,Brett Young,US
142,Bring Me The Horizon,GB
143,BrockHampton,US
146,Bryson Gray,US
150,Bugsey,US
151,Burl Ives,US
154,Buscabulla,US
155,CJ,US
156,CKay,NG
157,CORPSE,US
158,Calvin Harris,US
161,Capella Grey,US
164,Carlos Vives,CO
165,Carly Pearce,US
166,Carolina Gaitan,CO
169,Chance The Rapper,US
170,Chandler Crump,US
173,Chase Rice,US
176,Cherish,US
177,Chief Keef,US
180,Chloe X Halle,US
181,Chris Brown,US
182,Chris Janson,US
183,Chris Lane,US
187,Chris Tomlin,US
188,Chris Young,US
189,Christian Nodal,MX
190,Chuck Berry,US
191,Cico P,US
195,Clairo,US
198,Clinton Kane,AU
199,Cochise,DE
200,Cody Johnson,US
201,Coi Leray,US
202,Coldplay,GB
203,Cole Swindell,US
204,Conan Gray,US
205,Cordae,US
206,Corey Kent,US
207,DDG,US
208,DJ Chose,US
209,DJ Dahi,US
210,DJ Drama,US
211,DJ Khaled,US
212,DJ Snake,FR
213,DMX,US
221,Daddy YankeeKarol G,GB
222,Daisy World,US
223,Dan + Shay,US
224,DaniLeigh,US
225,Daniel Caesar,CA
226,DannyLux,US
227,Darius Rucker,US
228,Darlene Love,US
229,David Guetta,FR
230,Dean Martin,US
233,Devin Dawson,US
236,Diddy,US
239,Diplo,US
240,Disclosure,GB
243,Dominic Fike,US
244,Domo Genesis,US
248,Don Tolivert,US
249,Donny Hathaway,US
250,Doodie Lo,US
251,Dougie B,US
252,Dove Cameron,US
253,Dr. Dre,US
257,Drew Jacobs,US
258,Dua Lipa,GB
259,Duncan Laurence,NL
260,Dustin Lynch,US
261,Dylan Scott,US
262,EPMD,US
263,ERNEST,US
267,Eagles,US
268,Eartha Kitt,US
271,Ella Mai,GB
272,Elle King,US
273,Ellie Goulding,GB
274,Elton John,GB
275,Elvie Shane,US
276,Elvis Presley,US
277,Em Beihold,US
278,Emilee,US
282,Emmy Meli,US
288,Erica Banks,US
289,Erroll Garner,US
290,Eslabon Armado,US
291,"Fana Hues""",US
294,Fireboy DML,US
298,Fleet Foxes,US
299,Fleetwood Mac,GB
303,Frank Sinatra,US
313,G-Eazy,US
314,GAYLE,US
315,Gabby Barrett,US
316,Garth Brooks,US
317,Gary Lightbody Of Snow Patrol,US
318,Gene Autry,US
319,Gera MX,MX
320,Ghost,SE
321,Ghostface Killah,US
322,Giant Rooks,DE
326,Glass Animals,GB
327,GloRilla,US
328,Grace Jones,US
329,Grupo Firme,MX
330,Grupo Frontera,US
338,Gus Dapperton,US
339,Gwen Stefani,US
340,H.E.R.,US
341,HAIM,US
344,HVME,ES
348,Harry Styles,US
349,Headie One,GB
350,Henri Rene And His Orchestra,US
351,Hillary Scott,US
352,Hitkidd,US
353,Hopsin,US
354,Idina Menzel,US
355,Imagine Dragons,US
356,Ingrid Andress,US
359,Isaiah Rashad,US
360,Ivan Cornejo,US
365,J. Balvin,CO
372,J. Colee,US
373,J.I The Prince Of N.Y,US
374,J.Rey Soul,GB
375,JACKBOYS,US
378,JID,US
379,JIN,US
380,JNR CHOI,GB
381,JP Saxe,CA
382,JT,US
383,JVKE,US
388,Jackson 5,US
389,Jackson Dean,US
390,Jake Owen,US
391,Jake Scott,US
392,James Fauntleroy,US
393,Jameson Rodgers,US
394,Jason Aldean,US
395,Jason Derulo,US
396,Jawsh 685,US
397,Jax,GB
398,Jaymes Young,US
399,Jazmine Sullivan,US
400,Jelly Roll,US
401,Jennifer Hudson,US
406,Jessica Darrow,US
407,Jessie Murph,US
412,Jimmie Allen,US
413,Joel Corry,US
418,John Leguizamo,US
419,John Rich,US
420,Joji,US
425,Joony,US
426,Jordan Davis,US
427,Jose Feliciano,US
428,Jowell,PR
429,Joyner Lucas,US
430,Juanka,PR
431,Juhn,PR
437,Juicy J,US
438,Julia Michaels,US
439,Julieta Venegas,MX
445,Justin Moore,US
449,KSI,GB
461,Kate Bush,US
462,Katelyn Brown,US
473,Kelly Clarkson,US
474,Kelsea Ballerini,US
475,Kendrick Lamar,US
478,Kenny Mason,US
479,Kevin Gates,US
490,Kim Petras,US
491,King Combs,US
492,King Von,US
497,Ktlyn,US
498,Kygo,NO
499,LOCASH,US
500,Labrinth,GB
501,Lady A,US
502,Lady Antebellum,US
503,Lady Gaga,US
507,Lana Del Rey,US
508,Larray,US
513,Lauren Spencer-Smith,US
514,Layton Greene,US
517,Leon Bridges,US
518,Lewis Capaldi,GB
525,Lil Duke,US
534,Lil Mosey,US
535,Lil Nas X,US
536,Lil Shordie Scott,US
537,Lil TJay,US
538,Lil Tecca,US
554,Lil Yachty,US
555,Lisa,JP
556,Little Big Town,US
557,Lizzo,US
558,Logic,US
561,Lorde,NZ
562,Los Legendarios,PR
563,Loza Alexander,US
564,Lucky Daye,US
569,Lyanno,PR
570,M.I.A.,US
571,MNEK,GB
572,MO3,US
573,Mac Miller,US
574,MacKenzie Porter,CA
575,Machine Gun Kelly,US
576,Maddie & Tae,US
577,MadeinTYO,US
578,Mae Muller,US
579,Maldy,PR
582,Maneskin,IT
583,Manuel Turizo,CO
587,Mariah Carey,US
588,Mark Morrison,GB
589,Maroon 5,US
592,Mary J. Blige,US
593,Masked Wolf,AU
594,Matt Stell,US
595,Mauro Castillo,CO
598,Megan Moroney,US
599,Megan Thee Stallion,US
600,Meghan Trainor,US
601,Metallica,US
602,Metro Boomin,US
603,Michael Buble,CA
604,Michael Jackson,US
605,Michael Ray,US
606,Migos,US
607,Mike WiLL Made-It,GB
612,Mitchell Ayres And His Orchestra,US
615,Moliy,US
616,Money Man,US
621,Mooski,US
622,Mora,US
627,Morray,US
628,"Morray""",US
629,Mozzy,US
630,Mulatto,PH
631,Muni Long,US
632,Mustafa,US
