index,artist,country
0,(The Preacher) Bobby Womack,US
1,100 Proof Aged in Soul,US
2,10cc,GB
3,5000 Volts,XX
4,A Taste Of Honey,US
5,ABBA,SE
6,AC/DC,AU
7,AWB,FR
8,Ace,JP
9,Ace Frehley,US
10,Ace Spectrum,US
11,Addrisi Brothers,US
12,Aerosmith,US
13,Afrique,XX
14,Airwaves,MX
15,Al DeLory,US
16,Al Downing,US
17,Al Green,US
18,Al Martino,US
19,Al Stewart,GB
20,Al Wilson,US
21,Alan O'Day,US
22,Alan Parsons,XX
23,Albert Hammond,GB
24,Albert King,US
25,Alice Bowie,US
26,Alice Cooper,US
27,Alicia Bridges,US
28,Alive & Kicking,US
29,Alive 'N Kickin',US
30,Allan Clarke,GB
31,Alton McClain & Destiny,US
32,Amazing Rhythm Aces,US
33,Ambrosia,US
34,America,US
35,American Flyer,US
36,Amii Stewart,US
37,Anacostia,XX
38,Andrea True Connection,US
39,Andrew Gold,US
40,Andy & David Williams,US
41,Andy Fairweather Low,GB
42,Andy Gibb,AU
43,Andy Kim,XX
44,Andy Pratt,XX
45,Andy Williams,US
46,Angel,US
47,Anita Ward,US
48,Ann Peebles,US
51,Anson Williams,XX
52,Apollo,DE
53,Apollo 100,XX
54,April,CA
55,April Wine,CA
56,Archie Bell & The Drells,US
57,Aretha Franklin,US
58,Argent,GB
59,Arkade,XX
60,Arlo Guthrie,US
61,Arpeggio,US
62,Art Garfunkel,US
63,Arthur Alexander,US
64,Arthur Prysock,US
65,Ashford & Simpson,US
66,"Ashton, Gardner & Dyke",GB
67,Atlanta Rhythm Section,US
68,Attitudes,US
69,Audience,GB
70,Austin Roberts,US
71,Automatic Man,US
72,Average White Band,GB
73,B.B. King,US
74,B.C.G. (B.C. Generation),XX
75,B.J. Thomas,US
76,B.T. Express,US
77,B.W. Stevenson,US
78,BTO,XX
79,Bachman-Turner Overdrive,CA
80,Bad Company,GB
81,Badfinger,GB
82,Ballin' Jack,US
83,Bama,XX
84,Bandit,GB
85,Bang,GB
86,Banzaii,XX
87,Bar-Kays,US
88,Barbara And The Uniques,FR
