index,artist,country
0,'N Sync,US
1,(+44),US
2,10 Years,US
3,112,US
4,2 Pistols,US
5,2Gether,US
8,3 Doors Down,US
9,30 Seconds To Mars,US
10,311,US
13,3OH!3,US
16,504 Boyz,US
17,7 Aurelius,US
18,702,US
21,A Perfect Circle,US
24,A*Teens,SE
25,A.B. Quintanilla,US
26,AFI,US
27,ATC,DE
28,Aaliyah,US
29,Aaron Carter,US
30,Aaron Lewis,US
31,Aaron Lines,CA
32,Aaron Tippin,US
35,Adam Gontier,CA
36,Adam Lambert,US
37,Adam Levine,US
38,Adele,GB
39,Adina Howard,US
40,Aerosmith,US
41,Afroman,US
46,Alanis Morissette,CA
49,Alex Band,US
50,Ali,JP
51,Alice Deejay,NL
52,Alice In Chains,US
55,Alicia Keys ,US
56,Alien Ant Farm,US
59,All Star Tribute,US
60,All Time Low,US
61,Allison Moorer,US
62,Alvin And The Chipmunks,US
63,Aly & AJ,US
64,Amanda,FR
65,Amanda Perez,US
66,Amber,NL
67,Amel Larrieux,US
68,American Hi-Fi,US
69,American Idol Finalists,US
70,American Idol Finalists Season 4,US
71,American Idol Top 8,US
76,Amil,US
77,Amina,FR
80,Amy Winehouse,GB
81,Anais,GB
82,Anastacia,US
83,Andre 3000,US
86,Andy Griggs,US
87,Angel City,NL
88,Angelina,US
89,Angels & Airwaves,US
90,Angie Martinez,US
91,Angie Stone,US
92,Anita Baker,US
93,Anna Nalick,US
94,AnnaSophia Robb,US
95,Annie Lennox,GB
99,Anya Marina,US
100,Apocalyptica,FI
101,Arab,GB
102,Armageddon,SE
103,Artists Stand Up To Cancer,US
106,Asher Roth,US
107,Ashlee Simpson,US
108,Ashley Parker Angel,US
111,Audioslave,US
112,Augustana,US
116,Avenged Sevenfold,US
117,Aventura,US
120,Avril Lavigne,CA
121,Ayana,XX
122,Azul Azul,BO
123,B Rich,US
124,B.G,US
125,B.G.,US
128,BBMak,GB
129,BT,US
136,Baby Boy Da Prince,US
137,Babyface,US
138,Backstreet Boys,US
139,Bad Boy's Da Band,DE
140,Baha Men,BS
141,Barenaked Ladies,CA
142,Barrington Levy,JM
