index,artist,country
247,Chad & Jeremy,GB
248,Chambers Brothers,US
249,Chantay's,US
250,Charles Brown,US
251,Charles Wolcott,US
252,Charley Pride,US
255,Charlie Drake,GB
256,Charlie Mccoy,US
257,Charlie Rich,US
258,Charlie Russo,US
259,Charlie Ryan and the Timberline Riders,US
262,Chet Atkins,US
263,Chevelles,US
264,Chicago,US
265,Chico,JP
266,Chris Andrews,GB
267,Chris Bartley,US
268,Chris Columbo Quintet,US
269,Chris Crosby,US
270,Chris Kenner,US
271,Chris Montez,US
272,Christine Quaite,US
275,Chuck Berry,US
276,Chuck Jackson,US
277,Cilla Black,GB
278,Clarence Ashe,US
279,Clarence Carter,US
280,Clarence Henry,US
281,Clarence Reid,US
282,Classics IV,US
283,Claude Gray,US
284,Claude King,US
285,Claudine Clark,US
286,Claudine Longet,FR
287,Clefs Of Lavender Hill,US
288,Cleveland Crochet and Band,US
289,Cliff Nobles & Co.,US
290,Cliff Richard,GB
291,Clifford Curry,US
294,Collay & the Satellites,US
295,Connie Francis,US
296,Connie Stevens,US
297,Conway Twitty,US
298,Cookie And His Cupcakes,US
299,Cornbread & Biscuits,US
302,Count Five,US
303,Country Joe & The Fish,US
304,Cowboy Copas,US
305,Crazy Elephant,US
306,Cream,GB
307,Creedence Clearwater Revival,US
308,Crispian St. Peters,GB
309,"Crosby, Stills & Nash",US
310,Curtis Lee,US
311,Dale & Grace,US
312,Dale Ward,US
313,Dallas Frazier,US
314,Damita Jo,US
315,Dana Rollin,US
316,"Dancer, Prancer And Nervous",US
317,Danny & The Juniors,US
318,Danny Hutton,IE
319,Danny Peppermint and the Jumping Jacks,US
320,Danny Valentino,US
321,Danny Williams,ZA
322,Dante and the Evergreens,US
323,Darlene Love,US
324,Darrell Banks,US
325,Darrow Fletcher,US
326,"Dave ""Baby"" Cortez",US
327,"Dave Dee, Dozy, Beaky, Mick And Tich",GB
328,Dave Dudley,US
329,Dave York and The Beachcombers,US
330,David & Jonathan,DE
331,David Carroll,US
332,David Houston,US
333,David Houston & Tammy Wynette,US
334,David Jones,US
335,David Rose,US
336,David Ruffin,US
337,David Seville,US
338,David Seville And The Chipmunks,US
339,David Thorne,US
340,Davie Allan,US
341,Davie Allan And The Arrows,US
342,Dean And Jean,US
343,Dean Christie,US
344,Dean Martin,US
345,Dean Martin & Sammy Davis Jr.,US
346,Dean Parrish,US
347,Deane Hawley,US
348,Debbie Dean,US
349,Debbie Dovale,US
350,Debbie Reynolds,US
351,Debbie Taylor,US
352,Dee Clark,US
353,Dee Dee Ford,US
356,Dee Dee Warwick,US
357,Dee Jay And The Runaways,US
358,Deep Purple,GB
359,Del Reeves,US
360,Del Shannon,US
361,Della Humphrey,US
362,Della Reese,US
363,Dennis Yost,US
364,Dennis Yost And The Classics IV,US
365,Denny Reed,US
366,Deon Jackson,US
367,Derek,IE
368,Derek Martin,US
369,Desmond Dekker And The Aces,JM
370,Detroit Emeralds,US
371,Diana Ross,US
372,Diane Ray,US
373,Diane Renay,US
374,Dick Dale and The Del-Tones,US
375,Dick Hyman & His Electric Eclectics,US
376,Dick Johnson,US
377,Dick Lee,SG
378,Dick Roman,US
379,Dick and DeeDee,US
380,Dickey Lee,US
381,Dickie Goodman,US
382,Dinah Washington,US
383,"Dino, Desi & Billy",US
384,Dion,CA
385,Dionne Warwick,US
386,Dobie Gray,US
387,Dodie Stevens,US
388,Don & Juan,SI
389,Don And The Goodtimes,US
390,Don Costa,US
391,Don Covay and The Goodtimers,US
392,Don Fardon,GB
393,Don Gardner,US
394,Don Gibson,US
395,Don Ho and the Aliis,US
396,Don Shirley,US
397,Donald Jenkins,US
398,Donna Lynn,US
399,Donnie Brooks,US
400,Donnie and The Dreamers,US
401,Donovan,GB
402,Doris Day,US
403,Doris Troy,US
404,Dorothy Collins,CA
405,Dorothy Combs Morrison,US
406,Dorothy Morrison,US
407,Dorsey Burnette,US
408,Dr. Feelgood And The Interns,US
409,Dr. West's Medicine Show and Junk Band,US
410,Drafi,DE
411,Dreamlovers,BE
412,Duals,US
413,Duane Eddy,US
414,Dukays,US
415,Duke Baxter,US
416,Dusty Springfield,GB
417,Dyke And The Blazers,US
418,Earl Grant,US
419,Earl-Jean,US
420,Earth Opera,US
421,Ed Ames,US
422,Eddie Bo,US
423,Eddie Fisher,US
424,Eddie Floyd,US
425,Eddie Harris,US
426,Eddie Hodges,US
427,Eddie Holland,US
428,Eddie Holman,US
429,Eddie Lovette,US
430,Eddie Rambeau,US
431,Eddy Arnold,US
432,Edith Piaf,FR
433,Edwin Starr,US
434,Eivets Rednow,US
435,Ella Fitzgerald,US
436,Ella Johnson,US
437,Ella Washington,US
438,Ellie Greenwich,US
439,Elmo & Almo,US
440,Elton Anderson,US
441,Elvis Presley,US
442,Emilio Pericoli,IT
443,Engelbert Humperdinck,GB
444,Eric Burdon & The Animals,GB
445,Erma Franklin,US
446,Ernestine Anderson,US
447,Ernie Fields,US
448,Ernie Freeman,US
449,Ernie K-Doe,US
450,Ernie Maresca,US
451,Esther & Abi Ofarim,US
452,Esther Phillips,US
453,Eternity's Children,XW
454,Etta & Harvey,US
455,Etta James,US
456,Etta Jones,US
457,Eugene Pitts,US
458,Every Father's Teenage Son,US
459,Every Mothers' Son,US
460,Everything Is Everything,US
461,Evie Sands,US
462,Eydie Gorme,US
463,Fabian,US
464,Fantastic Four,US
465,Faron Young,US
466,Fats Domino,US
467,Felice Taylor,US
468,Felix Slatkin,US
469,Ferlin Husky,US
470,Ferrante & Teicher,US
471,Fever Tree,US
472,Five By Five,US
473,Five Stairsteps & Cubie,US
474,Flatt & Scruggs,US
475,Flavor,US
476,Flip Cartridge,GB
477,Florraine Darlin,US
478,Floyd Cramer,US
479,Fontella Bass,US
480,Fontella Bass & Bobby McClure,US
481,Four Jacks And A Jill,ZA
482,Four Tops,US
483,Frank Chacksfield,GB
484,Frank DeVol And His Rainbow Strings,US
485,Frank Gallop,US
486,Frank Gari,US
487,Frank Ifield,GB
490,Frank Slay,US
491,Frankie Avalon,US
492,Frankie Calen,US
493,Frankie Ford,US
494,Frankie Karl & The Dreams,US
495,Frankie Laine,US
496,Frankie Lymon,US
497,Frankie Miller,GB
500,Fred Darian,US
501,Fred Hughes,US
502,Freddie And The Dreamers,GB
503,Freddie Cannon,US
504,Freddie Hughes,US
505,Freddie McCoy,US
506,Freddie Scott,US
509,Freddy King,US
510,Freddy Scott,US
511,Friend And Lover,US
512,Funkadelic,US
513,G.L. Crockett,US
514,Gabriel And The Angels,US
515,Gale Garnett,CA
516,Garland Green,US
517,Garnet Mimms,US
518,Garry Miles,US
519,Garry Mills,US
520,Gary And The Hornets,US
521,Gary Cane And His Friends,US
522,Gary Lewis And The Playboys,US
523,Gary Puckett,US
524,Gary Puckett And The Union Gap,US
525,Gary Stites,US
526,Gary U.S. Bonds,US
527,Gene And Debbe,US
528,Gene Chandler,US
529,Gene McDaniels,US
530,Gene Pitney,US
531,Gene Thomas,BE
532,George & Gene,GB
533,George Hamilton IV,US
534,George Jones,US
535,George Maharis,US
536,George Martin,GB
537,George McCurn,US
538,George Torrence & The Naturals,US
539,Georgie Fame,GB
540,Gerry And The Pacemakers,GB
541,Ginny Arnell,US
542,Gladys Knight And The Pips,US
545,Glenn Yarbrough,US
546,Gloria Lynne,US
547,Gloria Taylor,US
548,Gloria Walker,US
549,Gogi Grant,US
550,Googie Rene,US
551,Grand Funk Railroad,US
552,Grapefruit,GB
553,Groove Holmes,US
554,Guy Marks,US
555,Guy Mitchell,US
556,H.B. Barnum,US
557,Hamilton Camp,US
558,Hank Ballard,US
559,Hank Jacobs,US
560,Hank Levine,US
561,Hank Locklin,US
562,Hank Snow,US
563,Hank Thompson,US
564,Hank Williams Jr.,US
565,Harlow Wilcox and the Oakies,US
566,Harold Betters,US
567,Harold Dorman,US
568,Harpers Bizarre,US
569,Harvey Scales,US
570,Hayley Mills,GB
571,Hayley Mills and Hayley Mills,GB
572,Hedgehoppers Anonymous,GB
573,Helen Shapiro,GB
574,Helena Ferguson,US
575,Henry Mancini,US
576,Henson Cargill,US
577,Herb Alpert,US
578,Herb Lance & The Classics,US
581,Herman's Hermits,GB
582,Hollywood Argyles,US
583,Horst Jankowski,DE
584,Howard Tate,US
585,Huey Smith,US
586,Hugh Masekela,ZA
587,Hugo & Luigi,IT
588,Hugo Montenegro,US
589,Ian Whitcomb,US
590,Ike & Tina Turner,US
591,Ike Clanton,US
592,Inez & Charlie Foxx,US
593,Inez Foxx,US
594,Irma Thomas,US
595,Iron Butterfly,US
596,Isaac Hayes,US
597,Ivo Robic,HR
598,J. Frank Wilson and The Cavaliers,US
599,J.J. Barnes,US
600,J.J. Jackson,US
601,Jack Eubanks,US
602,Jack Greene,US
603,Jack Jones,US
604,Jack Laforge,US
605,Jack Nitzsche,US
606,Jack Ross,US
607,Jack Scott,US
608,Jackie DeShannon,US
609,Jackie Lee,US
610,Jackie Ross,US
611,Jackie Wilson,US
612,Jackson 5,US
613,Jacky Noguez,US
614,James & Bobby Purify,US
615,James Booker,US
616,James Brown,US
617,James Carr,US
618,James Darren,US
619,James Gilreath,US
620,James MacArthur,US
621,James Phelps,US
622,James Ray,US
623,Jamie Horton,US
624,Jamo Thomas,US
625,Jan & Dean,GB
626,Jan And Kjeld,DK
627,Jan Bradley,US
628,Jane Birkin Serge Gainsbourg,FR
629,Jane Morgan,US
630,Janice Harper,US
631,Janie Grant,US
632,Janis Ian,US
633,Janis Joplin,US
634,"Jay ""Bird"" Uzzell",US
635,Jay & The Americans,US
636,Jay And The Techniques,US
637,Jaye P. Morgan,US
638,Jean & The Darlings,DE
639,Jeanette (Baby) Washington,US
640,Jeanne Black,US
641,Jeannie C. Riley,US
642,Jeannie Seely,US
643,Jeff Beck Group,GB
644,Jefferson,US
645,Jefferson Airplane,US
