index,artist,country
0,5 Satins,US
1,Addrisi Brothers,US
2,Al Martino,US
3,Andre Previn,US
4,Andy Rose,US
5,Andy Williams,US
6,Anita Bryant,US
7,Annette,US
8,Annette With The Afterbeats,US
9,April Stevens,US
10,Art Lund,US
11,Arthur Lyman,US
12,Augie Rios,US
13,Bernie Lowe Orchestra,US
14,Betty Johnson,US
15,Betty Madigan,US
16,Big Bopper,US
17,Big Jay McNeely And Band,US
18,Bill Black's Combo,US
19,Bill Doggett,US
20,Bill Haley And His Comets,US
21,Bill Parsons,US
22,Bill Pennell,US
23,Billy & Lillie,US
24,Billy Grammer,US
25,Billy Graves,US
26,Billy Storm,US
27,Billy Vaughn And His Orchestra,US
28,Billy Williams,US
29,Bing Crosby,US
30,Bo Diddley,US
31,Bob Beckham,US
32,Bob Kayli,US
33,Bob McFadden And Dor,US
34,Bobby Comstock,US
35,Bobby Darin,US
36,Bobby Day,US
37,Bobby Freeman,US
38,Bobby Hamilton,US
39,Bobby Helms,US
40,Bobby Hendricks,US
41,Bobby Pedrick Jr.,US
42,Bobby Peterson Quintet,US
43,Bobby Rydell,US
44,Bobby Vee and The Shadows,US
45,Bonnie Guitar,US
46,Boots Brown And His Blockbusters,US
47,Boyd Bennett,US
48,Brenda Lee,US
49,Brook Benton,US
50,Buddy Holly,US
51,Buddy Knox with the Rhythm Orchids,US
52,Carl Dobkins Jr.,US
53,Carl Mann,US
54,Carl Perkins,US
55,Carl Smith,US
56,Cathy Carr,US
57,Charlie Blackwell,US
58,Chet Atkins,US
59,Chico Holiday,US
60,Chris Barber's Jazz Band,GB
61,Chubby Checker,US
62,Chuck Berry,US
63,Chuck Willis,US
64,Cliff Richard and The Drifters,GB
65,Clyde McPhatter,US
66,Clyde Stacy,US
67,Connie Francis,US
68,Connie Stevens,US
69,Conway Twitty,US
70,Cookie And His Cupcakes,US
71,Count Basie & His Orch.,US
72,Cozy Cole,US
73,Crash Craddock,US
74,Cyclones,US
75,Cyril Stapleton And His Orchestra,GB
76,Dale Hawkins,US
77,Dale Wright And The Wright Guys With the Dons,US
78,"Dancer, Prancer And Nervous",US
79,Danny Zella and his Zell Rocks,US
80,"Dave ""Baby"" Cortez",US
81,David Hill,GB
82,David Rose,US
83,David Seville,US
84,DeJohn Sisters,US
85,Dean & Marc,US
86,Dean Martin,US
