index,artist,country
0,'Til Tuesday,US
1,"10,000 Maniacs",XX
2,1927,AU
3,3 Man Island,GB
4,38 Special,XX
5,4 By Four,XX
6,707,US
7,9.9,CA
8,A Flock Of Seagulls,GB
9,A Taste Of Honey,US
10,ABBA,SE
11,ABC,GB
12,AC/DC,AU
13,Aaron Neville,US
14,Abstrac',XX
15,Adam Ant,GB
16,Adrian Baker,GB
17,Adrian Belew,XX
18,Aerosmith,US
19,Afrika Bambaataa & The Soul Sonic Force,US
20,After 7,XX
21,After The Fire,GB
22,Agnetha Faltskog,SE
23,Air Supply,AU
24,Al B. Sure!,US
25,Al Corley,US
26,Al Green,US
27,Al Jarreau,US
28,Al Stewart,GB
29,Alabama,XX
30,Aldo Nova,CA
31,Alessi,US
32,Alex Brown,US
35,Ali Thomson,GB
36,Alice Cooper,US
37,Alisha,US
38,Alison Moyet,GB
39,All Sports Band,US
40,Allan Clarke,GB
41,Alphaville,DE
42,Amazulu,GB
43,Ambrosia,US
44,America,US
45,Amii Stewart & Johnny Bristol,US
50,Ana,ES
51,Andy Fraser,GB
52,Andy Gibb,AU
53,Andy Taylor,GB
54,Animotion,US
55,Anita Baker,US
56,Ann Wilson,US
57,Anne Murray,CA
58,Annie Lennox,GB
59,Apollonia,US
60,Apollonia 6,XX
61,April Wine,CA
62,Arcadia,GB
65,Arlan Day,XX
66,Art Garfunkel,US
67,Art Of Noise With Max Headroom,GB
68,Artists United Against Apartheid,US
69,Ashford & Simpson,US
70,Asia,GB
71,Atlanta Rhythm Section,US
72,Atlantic Starr,US
73,Aurra,US
74,Autograph,US
75,Average White Band,GB
76,Axe,US
77,B.B. King,US
78,B.E. Taylor Group,US
79,B.J. Thomas,US
80,Babyface,US
81,Bad Company,GB
82,Bad English,US
83,Badfinger,GB
84,Balance,US
85,Baltimora,IT
86,Bananarama,GB
87,Band McNally,XX
88,Band Of Gold,NL
89,Band-Aid,XX
90,Bar-Kays,US
91,Barbara Mitchell,XX
92,Barbra Streisand,US
93,Bardeux,XX
96,Barry Manilow,US
97,Basia,US
98,Beastie Boys,US
99,Beau Coup,US
100,Bee Gees,GB
101,Belinda Carlisle,US
102,Belouis Some,GB
103,Ben E. King,US
104,Benjamin Orr,US
105,Benny Mardones,US
106,Berlin,US
107,Bernadette Peters,US
108,Bertie Higgins,US
109,Bette Midler,US
110,Big Country,GB
111,Big Noise,US
112,Big Pig,AU
113,Big Ric,XX
114,Big Trouble,US
115,Bill Champlin,US
116,Bill Conti,US
117,Bill Medley,US
120,Billy & The Beaters,US
121,Billy Burnette,US
122,Billy Crystal,US
123,Billy Idol,GB
124,Billy Joel,US
125,Billy Ocean,GB
126,Billy Preston,US
127,Billy Rankin,GB
128,Billy Satellite,XX
129,Billy Squier,US
130,Billy Vera & The Beaters,US
131,Blackfoot,US
132,Blondie,US
133,Blue Mercedes,GB
134,Blue Oyster Cult,US
135,Blue Zone U.K.,GB
136,Blues Brothers,US
137,Bob & Doug McKenzie,CA
138,Bob Dylan,US
139,Bob Geldof,IE
140,Bob Seger,US
141,Bobby Brown,US
142,Bobby Caldwell,US
143,Bobby McFerrin,US
144,Bobby Vinton,US
145,Bobby Womack & Patti LaBelle,US
146,Bon Jovi,US
147,Bonham,GB
148,Bonnie Pointer,US
149,Bonnie Raitt,US
150,Bonnie Tyler,GB
151,Book Of Love,US
152,Boston,XX
153,Bourgeois Tagg,US
154,Bow Legged Lou,US
155,Bow Wow Wow,GB
156,Boy George,GB
157,Boy Meets Girl,US
158,Boys Club,US
159,Boys Don't Cry,US
160,Boz Scaggs,US
161,Breathe,GB
162,Breathless,GB
163,Brenda K. Starr,US
164,Brenda Russell,US
165,Britny Fox,US
166,Bronski Beat,GB
167,Bros,GB
168,Bruce Cockburn,CA
169,Bruce Hornsby & The Range,US
170,Bruce Springsteen,US
171,Bruce Willis,US
172,Bryan Adams,CA
173,Bryan Ferry,GB
174,Buckner & Garcia,US
175,BulletBoys,US
176,Burt Reynolds,US
177,Burton Cummings,XX
178,Bus Boys,US
179,Buster Poindexter & His Banshees Of Blue,XX
180,Cameo,US
181,Camouflage,DE
182,Candi,US
183,Captain & Tennille,US
184,Carl Anderson & Gloria Loring,US
185,Carl Carlton,US
186,Carl Wilson,US
187,Carlene Carter,US
188,Carly Simon,US
189,Carol Lynn Townes,US
190,Carole Bayer Sager,US
191,Carole King,US
192,Caron Wheeler,GB
193,Carpenters,US
194,Catherine Buchanan,US
195,Cathy Dennis,GB
196,Cee Farrow,DE
197,Cellarful Of Noise,US
198,Central Line,GB
202,Champaign,US
203,Change,IT
204,Charlene,US
205,Charles Fox,US
206,Charlie,US
207,Charlie Dore,GB
208,Charlie Sexton,US
209,Cheap Trick,US
210,Cheech & Chong,US
211,Cher,US
212,Cherelle,XX
213,Cheri,XX
216,Cheryl Lynn,US
217,Cheryl Pepsii Riley,US
218,Chic,US
219,Chicago,US
220,Chico DeBarge,US
221,Chilliwack,CA
222,Choirboys,AU
223,Chris Christian,US
224,Chris Forde,XX
225,Chris Rea,GB
226,Chris Thompson,GB
227,Chris de Burgh,GB
228,Christine McVie,XX
229,Christopher Atkins,XX
230,Christopher Cross,US
231,Christopher Max,US
232,Christopher Williams,US
233,Chubby Checker,XX
234,Chuck Mangione,US
235,Chuckii Booker,US
236,Chunky A,US
237,Cinderella,US
238,Cindy Bullens,US
239,Clarence Clemons,US
242,Climax Blues Band,GB
243,Climie Fisher,GB
244,Clint Eastwood,US
245,Clocks,US
246,Club House,IT
247,Club Nouveau,US
248,Cock Robin,US
249,Colin James Hay,AU
250,Commodores,US
251,Company B,US
252,ConFunkShun,US
253,Conductor,XX
254,Corey Hart,CA
255,Coyote Sisters,XX
256,Crazy Horse,US
257,"Crosby, Stills & Nash",US
258,Crowded House,AU
261,Cugini,XX
262,Culture Club,GB
263,Curiosity Killed The Cat,GB
264,Curtie & The Boom Box,XX
265,Cutting Crew,GB
266,Cyndi Lauper,US
267,D Train,US
268,D-Mob,DE
269,D.J. E-Z Rock,US
270,D.J. Jazzy Jeff,US
271,Dan Fogelberg,US
272,Dan Hartman,US
273,Dan Hill,CA
274,Dan Reed Network,US
275,Dan Seals,US
276,Dana Valery,US
277,Dann Rogers,XX
278,Danny Wilson,GB
279,Dara Sedaka,US
280,Daryl Hall,US
281,Daryl Hall & John Oates,US
282,Dave Edmunds,GB
283,Dave Mason,GB
284,Dave Stewart and Barbara Gaskin,GB
285,David & David,XX
288,David Foster,CA
289,David Gates,US
290,David Gilmour,GB
291,David Hallyday,FR
292,David Hudson,AU
293,David Lasley,US
294,David Lee Roth,US
295,David Pack,US
296,Dayton,US
297,Dazz Band,US
298,De La Soul,US
299,DeBarge,US
300,Dead Or Alive,GB
301,Debarge,US
302,Debbie Gibson,US
303,Debbie Harry,US
304,Debbie Jacobs,US
305,Deborah Allen,US
306,Debra Laws,US
307,Deep Purple,GB
308,Def Leppard,GB
309,Deja,US
310,Del Shannon,US
311,Delbert McClinton,US
312,Deliverance,US
313,Deniece Williams,US
314,Denise Lopez,US
315,Dennis DeYoung,US
316,Dennis Edwards,US
317,Deodato,BR
318,Deon Estus,US
319,Depeche Mode,GB
320,Device,US
321,Devo,US
322,Dexys Midnight Runners,GB
326,Diesel,AU
327,Dino,US
328,Dion,US
331,Dionne Warwick,US
332,Dire Straits,GB
333,Diving For Pearls,US
334,Divinyls,AU
335,Doctor And The Medics,GB
336,Dokken,US
337,Dollar,GB
340,Don Felder,US
345,Don McLean,US
346,Don Williams,US
347,Donald Fagen,US
348,Donna Allen,US
351,Donnie Iris,US
352,Donny Hathaway,US
353,Donny Osmond,US
354,Dottie West,US
355,Double,XW
356,Double Image,XX
357,Dr. Hook,US
358,Dragon,NZ
359,Duane Eddy,US
360,Duet With Jacci McGhee,US
361,Duke Jupiter,XX
362,Duran Duran,GB
363,Dusty Springfield,GB
364,Dwight Twilley,US
365,Dynasty,US
366,E.G. Daily,US
367,E.U.,XX
368,Eagles,US
369,"Earth, Wind & Fire",US
370,Easterhouse,GB
371,Eddie & The Tide,US
372,Eddie Money,US
373,Eddie Murphy,US
374,Eddie Rabbitt,US
375,Eddie Schwartz,CA
376,Eddy Grant,GB
377,Edie Brickell & New Bohemians,US
378,Eight Seconds,CA
379,Eighth Wonder,GB
380,El DeBarge,US
381,Electric Light Orchestra,GB
387,Elvis Costello,GB
