index,artist
1756,Ty Herndon
1757,Tyler Collins
1758,Tyrese
1759,U.N.V.
1760,U2
1761,UB40
1762,US3
1763,Ugly Kid Joe
1764,Ultra Nate
1765,Uncle Sam
1766,Urban Dance Squad
1767,Urge Overkill
1768,Usher
1769,Utah Saints
1770,Van Halen
1771,Vanessa Williams
1772,Vanilla Ice
1773,Various Artists
1774,Vaughan Brothers
1775,Vengaboys
1776,Veronica
1777,Vicious
1780,Vitamin C
1781,Vixen
1782,Voice Of The Beehive
1783,Voices
1784,Voices Of Theory
1785,Voices That Care
1786,Voyce
1787,Vybe
1788,WC From Westside Connection
1789,Wade Hayes
1790,War
1791,Warrant
1794,Warren Hill
1795,Weezer
1796,Weird Al Yankovic
1797,Wendy Moten
1798,Westside Connection
1799,Wet Wet Wet
1800,Whistle
1801,White Town
1802,Whitehead Bros.
1803,Whitesnake
1804,Whitney Houston
1805,Wild Orchid
1806,Will Smith
1807,Will To Power
1808,Willi One Blood
1809,Willie Max
1810,Wilson Phillips
1811,Winger
1812,Witchdoctor
1813,Wondah
1814,Wondress
1815,Wreckx-N-Effect
1816,Wu-Tang Clan
1817,Wyclef Jean
1823,Xymox
1828,Yaki-Da
1829,Yankee Grey
1830,Yasmin
1831,Yavahn
1832,Yellaklaw
1833,Yes
1836,Young And Restless
1837,Young Black Teenagers
1838,Young M.C.
1839,Youngstown
1840,Youssou N'Dour
1843,Yvonne
1844,ZZ Top
1845,Zapp & Roger
1846,Zelma Davis
1847,Zemya Hamilton
1851,Ziggy Marley And The Melody Makers
1852,dc Talk
1853,dog's eye view
1854,k.d. lang
1855,matchbox 20
