index,artist,country
0,6LACK,US
1,loyd,US
12,24kGoldn,US
13,2Cellos,HR
14,3 Doors Down,US
23,6LACK,US
24,6ix9ine,US
25,99 Percent,US
26,9lokknine,US
32,A Day To Remember,US
33,A Great Big World,US
35,A Rocket To The Moon,US
36,A Thousand Horses,US
37,A Tribe Called Quest,US
42,A$AP Rocky ,US
43,A-Trak ,IL
44,AJR,US
45,AURORA,NO
46,AWOLNATION,US
47,Aaliyah,US
48,Aaron Lewis,US
49,Ace Hood,US
50,Action Bronson,US
51,Adam Hicks,US
52,Adam Lambert,US
60,Adam Wakefield,US
61,Adele,GB
65,Agatha Lee Monn,US
68,Alabama,US
69,Alabama Shakes,US
70,Alan Jackson,US
71,Alan Walker,NO
72,Alec Benjamin,US
75,Alessia De Gasperis,US
78,Alex Clare,GB
79,Alexandra Stan,RO
80,Alexis Jordan,US
81,Ali Gatie,CA
82,Alice Merton,CA
87,Alisa Ueno,US
88,Alisan Porter,US
89,Alison Gold,US
90,Alissa Violet,US
91,Allan Kingdom,US
94,Alpha Rev,US
95,AlunaGeorge,GB
96,Amanda Brown,US
97,Amber Carrington,US
98,Amber Coffman,US
99,Ambjaay,US
100,American Authors,US
101,Amine,MA
102,Amy Winehouse,GB
105,Andrea Bocelli,IT
106,Andrew McMahon In The Wilderness,US
107,Andy Grammer,US
108,Andy Williams,US
109,Anna Kendrick,US
110,Anna Margaret,US
111,Anna Wise,US
112,Anne Hathaway,US
115,Annie Lennox,GB
118,Ant Saunders,US
119,Anthony Hamilton,US
120,Antoine Dodson,US
126,Arcade Fire,CA
127,Arctic Monkeys,GB
131,Arianna,MX
132,Arizona Zervas,US
133,Armin van Buuren,NL
134,Arrow Benjamin,US
135,Artists For Haiti,US
136,Artists For Puerto Rico,US
137,"Artists Of Then, Now & Forever",US
138,Ashanti,US
139,Asher Roth,US
142,Ashton Shepherd,US
143,Auburn,US
149,August Alsina ,US
150,Auli'i Cravalho,US
151,Austin Mahone,US
152,Ava Max,US
153,Avenged Sevenfold,US
154,Aventura,US
155,Avicii,SE
156,Avril Lavigne,CA
157,Ayah Marar,GB
158,Ayo & Teo,US
159,B,US
162,BIA,US
163,BJ The Chicago Kid,US
168,Baauer,US
178,Bad Bunny,PR
179,Bad Meets Evil,US
180,Bad Wolves,US
181,Ball Greezy,US
182,Band Aid 30,US
183,Bandit Gang Marco,US
184,Barrett Baber,US
185,Bas,DE
188,Bazzi,US
189,Bea Miller,US
198,Becky G.,US
199,Bella Thorne,US
202,Ben Platt,US
203,Ben Rector,US
204,Benny Benassi,IT
205,Betty Wright,US
206,Beverly McClellan,US
207,Beyonce,US
208,Bhad Bhabie,US
209,Big & Rich,US
210,Big K.R.I.T.,US
219,Big Time Rush,US
220,Bilal,US
221,Billie Eilish,US
222,Billy Currington,US
223,Billy Ray Cyrus,US
224,Bing Crosby,US
225,Bipolar Sunshine,GB
230,Blac Youngsta,US
231,Black Coffee,ZA
232,Black Eyed Peas,US
236,Blanco Brown,US
237,Blink-182,US
238,BlocBoy JB,US
239,BloodPop,US
240,Blue Ivy Carter,US
246,Bobby Helms,US
249,Bon Iver,US
250,Bon Jovi,US
251,Bonnie McKee,US
252,Bono,IE
253,Bono & The Edge,IE
256,Bow Wow,US
257,Boys Like Girls,US
258,Brad Paisley,US
261,Brando,US
262,Brandy,US
265,Breaking Benjamin,US
266,Breathe Carolina,US
267,Brenda Lee,US
268,Brendon Urie,US
269,Brent Faiyaz,US
270,Brett Eldredge,US
271,Brett Young,US
272,Brian May,GB
275,Britney Spears,US
276,Britt Nicole,US
277,Broadway For Orlando,US
278,Brooks & Dunn,US
283,Bryce Vine,US
287,Buck 22,US
288,Buddy,US
289,Burl Ives,US
293,CHVRCHES,GB
294,CL,KR
295,Ca$h Out,US
296,Cage The Elephant,US
297,Calboy,US
298,Cali Swag District,US
299,Calum Scott,GB
302,Calvin Harris ,US
303,Cam,FR
304,Cam'ron,US
309,Canaan Smith,US
310,Candice Glover,US
311,Capital Cities,US
318,Carlos Vives,CO
319,Carly Pearce,US
326,Cascada,DE
327,Casey James,US
328,Casey Weston,US
329,Cash Cash,US
330,Cashmere Cat,NO
331,Casino,US
332,Casper Magico,PR
335,Cataracs,US
336,Catherine Dunn,US
339,Cee-Lo,US
340,CeeLo Green,US
341,Chad Kroeger,CA
345,Charli XCX,US
346,Charlie Daniels,US
349,Charlie Sexton,US
350,Charlie Worsham,US
351,Chase Bryant,US
352,Chase Rice,US
353,Cheat Codes,US
354,Chedda Da Connect,US
359,Chief Keef,US
360,Childish Gambino,US
361,Chimamanda Ngozi Adichie,US
365,Chloe Kohanski,US
366,Chris Blue,US
370,Chris Cagle,US
371,Chris Jamison,US
372,Chris Janson,US
373,Chris Lake,GB
374,Chris Lane,US
375,Chris Mann,US
376,Chris Medina,US
377,Chris Richardson,US
382,Chris Willis,US
383,Chris Young,US
384,Chrisette Michele,US
388,Christina Grimmie,US
389,Christina Perri,US
390,Christopher Wilde,US
391,Chuck Berry,US
392,Ciara,US
393,City Girls,US
394,Clare Bowen,US
395,Claudia Leitte,BR
396,Clay Walker,US
397,Clean Bandit,GB
398,Clipse,US
399,Cobra Starship,US
400,Cody Johnson,US
401,Colbie Caillat,US
404,Cole Swindell,US
405,Common,US
406,Conrad,DE
407,Consequence,US
408,Cookin' On 3 Burners,AU
409,Cory Gunz,US
410,Costi,FI
411,Craig Campbell,US
412,Craig Morgan,US
413,Craig Wayne Boyd,US
414,Creed,US
417,Curren$Y ,US
418,Cutty Ranks,JM
419,D.R.A.M.,US
420,DJ Drama,US
421,DJ ESCO,US
422,DJ Frank E,US
423,DJ Khaled,US
424,DJ Luke Nasty,US
430,DJ Suede The Remix God,US
431,DLOW,US
432,DNCE,US
433,DOM KENNEDY,US
443,Dae Dae,US
444,Daft Punk,FR
445,Dakota,DE
446,Damian Lemar Hudson,US
447,Damian Marely,US
448,Damien,US
449,Dan + Shay,US
450,DaniLeigh,US
451,Daniel Caesar,CA
452,Danielle Bradbery,US
453,Danny Gokey,US
456,Darius Rucker,US
457,Darlene Love,US
458,Daughtry,US
459,Dave Days,US
460,Dave Matthews Band,US
461,David Bowie,US
462,David Guetta,FR
463,David Lee Murphy,US
464,David Nail,US
465,Dawin,US
468,Dcup,AU
471,Dean Lewis,AU
472,Dean Martin,US
473,Death Cab For Cutie,US
474,Dej Loaf,US
477,Dennis Lloyd,IL
478,Derez De'Shon,US
479,Descemer Bueno,CU
480,Descendants 2 Cast,US
483,"Desiigner""",US
484,Detail,US
487,Devin Dawson,US
490,Diddy - Dirty Money,US
491,Dierks Bentley,US
494,Digital Farm Animals,GB
495,Dillon Francis,US
500,Disciples,GB
501,Disclosure,GB
502,Disney's Friends For Change,US
503,Disturbed,US
504,Dixie Chicks,US
505,Dizzee Rascal,GB
506,Doja Cat,US
507,Don Omar,PR
508,Don Toliver,US
509,Dove Cameron,US
510,Dr. Dre,US
511,Dr. Dre ,US
512,Dragonette,CA
515,Dre,US
516,Dreamville,US
517,Dreezy,US
518,Driicky Graham,US
519,Dro,US
523,Duck Sauce,US
524,Dustin Lynch,US
525,Dwayne Johnson,US
528,Dylan Scott,US
529,Dzeko,CA
532,EARTHGANG ,US
533,Easton Corbin,US
534,Eazy-E,US
535,Echosmith,US
538,Eddie Vedder,US
539,Edens Edge,US
540,Edward Maya,RO
541,El Cata,DO
542,El Chombo,PA
543,Eli Young Band,US
544,Ella Henderson,GB
549,Elley Duhe,US
553,Elvis Presley,US
554,Emblem3,US
557,Emily Ann Roberts,US
560,Eminem,US
561,Eminem ,US
562,Empire Cast,US
563,Empire Of The Sun,AU
564,Empress Of,US
567,Enya,IE
571,Eric Nally,US
572,Eric Paslay,US
573,Eric Turner,US
574,Erika Costell,US
575,Erykah Badu,US
578,Ester Dean,US
579,Eva Simons,US
580,Evan Rachel Wood,US
581,Evanescence,US
582,FLETCHER,US
583,FUTURISTIC,US
591,Famous Dex,US
592,Fantasia,US
593,Far*East Movement ,US
596,Fat Joe,US
597,Faydee,AU
603,Fifth Harmony,US
604,Fitz And The Tantrums,US
605,Five Finger Death Punch,US
606,Flipp Dinero,US
609,Florence + The Machine,US
610,Florence Welch,GB
615,Flume,AU
616,Foo Fighters,US
617,Foster The People,US
618,Foxes,GB
619,Francesco Yates,US
622,Frank Sinatra,US
623,Frankie Ballard,US
624,Fred Hammond,US
625,Fred Stobaugh,US
629,Frenship,US
630,Freshlyground,ZA
631,Fuse ODG,GB
645,G.R.L.,US
646,Galantis,SE
647,Game,US
648,Garrett Hedlund,US
649,Garth Brooks,US
650,Gary Allan,US
653,Gene Autry,US
654,General Larry Platt,US
655,Gente de Zona,CU
656,George Benson,US
657,George Clinton,US
658,George Ezra,GB
659,George Jones,US
662,George Strait,US
665,Ghost Town DJ's,US
666,Giggs,GB
667,Glee Cast,US
668,Glen Campbell,US
669,Gloria Carter,US
670,Gloriana,US
671,Godsmack,US
672,GoldLink,US
675,Gorilla Zoe,US
676,Gorillaz,US
677,Gotye,AU
678,Grace,US
679,Grace Phipps,US
682,Grace Potter & The Nocturnals,US
683,Grandmaster Caz,US
684,Granger Smith,US
685,Green Day,US
686,Green Shoe Studio,US
687,Greg Bates,US
688,Greta Svabo Bech,FO
691,Grouplove,US
692,Guapdad 4000,US
699,Gudda,US
703,Guy Sebastian,AU
704,Gwen Sebastian,US
710,Gym Class Heroes,US
711,Gyptian,JM
714,Hadouken!,GB
721,Hannah Huston,US
722,Hannah Montana,US
723,Harry Styles,US
724,Havana Brown,AU
725,Hayley Kiyoko,US
726,Hayley Williams,US
727,Hey Violet,US
728,High Valley,CA
729,Hikaru Utada,US
730,Hilary Duff,US
731,Hillsong UNITED,AU
734,Hoodie Allen,US
735,Hot Chelle Rae,US
736,How I Became The Bomb,US
737,Hozier,IE
738,Hugh Jackman,AU
739,Hugh Laurie,GB
740,Huncho Jack,US
741,Hunter Hayes,US
742,Hustle Gang,US
743,I LOVE MAKONNEN,US
744,I Prevail,US
745,ILLENIUM,US
746,IamSU!,US
747,IamSu,US
748,IamSu!,US
749,Icona Pop,SE
759,Imagine Dragons,US
760,Infared,NZ
761,Ingrid Michaelson,US
762,Ink,US
763,Internet Money,US
774,J Balvin & Willy William Featuring Beyonce,CO
779,J. Dash,US
780,J. Davi$,US
781,JAY-Z,US
782,JID,US
783,Jace,US
784,Jack & Jack,DE
785,Jack Johnson,US
786,Jack White,US
787,Jacob Colgan,US
788,Jacob Sartorius,US
789,Jacquees,US
