index,artist,country
77.0,Amanda Marshall,CA
65.0,Amanda Perez,US
49.0,Amanda Reifer,BB
50.0,Amanda Shires,US
32.0,Amazing Rhythm Aces,US
42.0,Amazulu,GB
66.0,Amber,NL
97.0,Amber Carrington,US
98.0,Amber Coffman,US
99.0,Ambjaay,US
33.0,Ambrosia,US
67.0,Amel Larrieux,US
44.0,America,US
100.0,American Authors,US
35.0,American Flyer,US
68.0,American Hi-Fi,US
69.0,American Idol Finalists,US
70.0,American Idol Finalists Season 4,US
71.0,American Idol Top 8,US
36.0,Amii Stewart,US
45.0,Amii Stewart & Johnny Bristol,US
76.0,Amil,US
79.0,Amil (Of Major Coinz),GB
77.0,Amina,FR
101.0,Amine,MA
80.0,Amy Grant,US
80.0,Amy Winehouse,GB
81.0,Ana,ES
37.0,Anacostia,XX
81.0,Anais,GB
82.0,Anastacia,US
51.0,Anderson .Paak,US
83.0,Andre 3000,US
3.0,Andre Previn,US
30.0,Andre Williams,US
105.0,Andrea Bocelli,IT
31.0,Andrea Carroll,US
82.0,Andrea Martin,US
38.0,Andrea True Connection,US
39.0,Andrew Gold,US
52.0,Andrew Jannakos,US
106.0,Andrew McMahon In The Wilderness,US
83.0,Andrew Ridgeley,GB
84.0,Andru Donalds,JM
40.0,Andy & David Williams,US
41.0,Andy Fairweather Low,GB
51.0,Andy Fraser,GB
52.0,Andy Gibb,AU
107.0,Andy Grammer,US
86.0,Andy Griggs,US
32.0,Andy Kim,US
44.0,Andy Pratt,XX
4.0,Andy Rose,US
33.0,Andy Stewart,GB
53.0,Andy Taylor,GB
45.0,Andy Williams,US
46.0,Angel,US
87.0,Angel City,NL
86.0,Angela Winbush,US
87.0,Angelica,BR
88.0,Angelina,US
89.0,Angels & Airwaves,US
89.0,Angie Mar,US
90.0,Angie Martinez,US
90.0,Angie Stone,US
54.0,Animotion,US
35.0,Anita & Th' So-And-So's,US
91.0,Anita Baker,US
6.0,Anita Bryant,US
92.0,Anita Cochran,US
37.0,Anita Humes,US
47.0,Anita Ward,US
54.0,Anitta,BR
38.0,Ann Cole,US
48.0,Ann Peebles,US
56.0,Ann Wilson,US
39.0,Ann-Margret,US
109.0,Anna Kendrick,US
40.0,Anna King,US
110.0,Anna Margaret,US
93.0,Anna Nalick,US
111.0,Anna Wise,US
94.0,AnnaSophia Robb,US
112.0,Anne Hathaway,US
57.0,Anne Murray,CA
55.0,AnnenMayKantereit,DE
41.0,Annette,US
8.0,Annette With The Afterbeats,US
115.0,Annie Lennox,GB
94.0,Anonymous,XW
95.0,Another Bad Creation,US
51.0,Anson Williams,XX
56.0,Ant Clemons,US
57.0,Ant Saunders,US
42.0,Anthony & The Imperials,US
119.0,Anthony Hamilton,US
43.0,Anthony Newley,US
120.0,Antoine Dodson,US
99.0,Anya Marina,US
96.0,Anything Box,US
100.0,Apocalyptica,FI
52.0,Apollo,DE
53.0,Apollo 100,XX
59.0,Apollonia,US
60.0,Apollonia 6,XX
54.0,April,CA
9.0,April Stevens,US
44.0,April Stevens & Nino Tempo,US
61.0,April Wine,CA
99.0,Aqua,DK
101.0,Arab,GB
126.0,Arcade Fire,CA
62.0,Arcadia,GB
56.0,Archie Bell & The Drells,US
127.0,Arctic Monkeys,GB
46.0,Aretha Franklin,US
58.0,Argent,GB
64.0,Ariana Grande,US
131.0,Arianna,MX
65.0,Arizona Zervas,US
59.0,Arkade,XX
65.0,Arlan Day,XX
47.0,Arlo Guthrie,US
102.0,Armageddon,SE
66.0,Armani White,US
133.0,Armin van Buuren,NL
101.0,Around The Way,XX
61.0,Arpeggio,US
102.0,Arrested Development,US
134.0,Arrow Benjamin,US
66.0,Art Garfunkel,US
48.0,Art Linkletter,US
10.0,Art Lund,US
49.0,Art Mooney,US
103.0,Art N' Soul,XX
67.0,Art Of Noise With Max Headroom,GB
63.0,Arthur Alexander,US
104.0,Arthur Baker,US
51.0,Arthur Conley,US
11.0,Arthur Lyman,US
52.0,Arthur Lyman Group,US
53.0,Arthur Prysock,US
105.0,Artie The 1 Man Party,US
135.0,Artists For Haiti,US
136.0,Artists For Puerto Rico,US
137.0,"Artists Of Then, Now & Forever",US
103.0,Artists Stand Up To Cancer,US
68.0,Artists United Against Apartheid,US
67.0,Ashanti,US
68.0,Ashe,US
139.0,Asher Roth,US
69.0,Ashford & Simpson,US
107.0,Ashlee Simpson,US
108.0,Ashley Parker Angel,US
142.0,Ashton Shepherd,US
66.0,"Ashton, Gardner & Dyke",GB
106.0,Asia,GB
54.0,Astrud Gilberto,BR
107.0,Athena Cage,US
108.0,Athenaeum,US
71.0,Atlanta Rhythm Section,US
109.0,Atlantic Starr,US
68.0,Attitudes,US
143.0,Auburn,US
69.0,Audience,GB
111.0,Audioslave,US
55.0,Audrey Arno,DE
12.0,Augie Rios,US
149.0,August Alsina ,US
112.0,Augustana,US
150.0,Auli'i Cravalho,US
73.0,Aurra,US
151.0,Austin Mahone,US
70.0,Austin Roberts,US
56.0,Austin Taylor,US
74.0,Autograph,US
71.0,Automatic Man,US
57.0,Autry Inman,US
152.0,Ava Max,US
116.0,Avenged Sevenfold,US
154.0,Aventura,US
72.0,Average White Band,GB
155.0,Avicii,SE
120.0,Avril Lavigne,CA
76.0,Axe,US
157.0,Ayah Marar,GB
121.0,Ayana,XX
158.0,Ayo & Teo,US
122.0,Azul Azul,BO
